MGI.symbol,t,B
Skiv2l,0.449490599303392,0.136216417
Shd,-0.383412709921634,0.217382031
Sh3glb2,-2.83124995754862,0.838798112
Sh3glb1,-0.572150754069731,0.097280112
Sirt5,1.35790054810083,0.312641654
Shank2,-0.115195233259801,0.206426875
Ski,1.93495557973261,0.20695331
Shc2,-1.0668950083899,0.32508792
Sik1,-1.92937253386891,0.706569399
Sgpl1,0.691420818932308,0.172546707
Sik2,1.34792660806309,0.385225954
Sgms1,-1.71567477496752,0.259841878
Sgce,0.234698289583511,0.148932777
Sgpp2,-1.59352720021729,0.274272082
Sh2b2,2.5510605171735,1.309255215
Sh2d3c,-0.880693114012828,0.325960191
Shtn1,-0.440968229743178,0.146293725
Shprh,0.644114645800264,0.124066773
Shisa8,0.978967362635635,0.227597837
Sirt1,-1.50130148603866,0.383309679
Shfm1,-0.630539333108086,0.303040258
Sipa1,1.28144368877888,0.241554174
Sh3bgrl,-0.647332987581662,0.089919574
Shkbp1,-1.34282341523578,0.349682114
Sirt3,-0.957785836872854,0.150829965
Sh3bp1,-0.0543690570517432,0.100566924
Sgcb,-0.106270491040611,0.0999891
Sgms2,1.28695358516155,0.292780545
Sgpp1,-1.32627369428719,0.158186404
Sik3,0.435376679661113,0.090401027
Sigmar1,0.0182913717502296,0.151695505
Skap2,0.557451756442693,0.165238962
Shc4,-1.39049182146546,0.249813058
Sirt6,-2.44896542007587,1.31108968
Shank1,-1.30942776839442,0.563690427
Sh3gl3,-1.43709649781876,0.307920844
Skil,1.01462934462366,0.157661457
Shf,0.961730541169538,0.298868557
Sh3kbp1,-1.4147490754782,0.189006543
Shisa9,-1.43574532595132,0.270918644
Sirt4,-0.563601338567548,0.249017097
Sh3bgrl3,-0.0570369161899661,0.092025079
Sh3bgrl2,-1.75520702028201,0.481988371
Shh,2.12365145209141,0.770825627
Sin3b,2.00496731322503,0.305918634
Shisa7,-0.501732561684907,0.241142897
Sirt2,-0.715649144614976,0.081703922
Shroom2,-2.08552049635386,0.324408419
Sh2b3,-0.142225717224643,0.206835297
Shroom3,1.97452445366104,0.521578654
