MGI.symbol,t,B
Skiv2l,0.120915609749348,0.120395554
Shd,-2.08799108817576,0.619310141
Sh3glb2,-0.157141027435158,0.087797316
Sh3glb1,-3.45018288923918,1.439188972
Sirt5,1.06827218586206,0.307731793
Shank2,0.574929345004735,0.181213839
Ski,4.10588535231591,4.418230367
Shc2,-0.366731947908552,0.233133687
Sik1,1.4120340761931,0.463261918
Sgpl1,2.70276287881954,0.837510073
Sik2,-1.89457215458132,0.817126388
Sgms1,0.547842422746859,0.100264897
Sgce,2.6662499409074,0.715628307
Sgpp2,0.0573852536657277,0.155520191
Sh2b2,3.23765616809884,4.196108828
Sh2d3c,1.44303509802563,0.44012642
Shtn1,-4.509417322913,27.46733462
Shprh,0.30489845304985,0.106916232
Shisa8,1.75451344130127,0.412111318
Sirt1,-0.267270625955058,0.18013459
Shfm1,-0.678345228354944,0.289535361
Sipa1,0.516392182671515,0.182532719
Sh3bgrl,-0.42983114787992,0.075988286
Shkbp1,1.03063583536342,0.24367635
Sirt3,-2.35434897492064,0.424606652
Sh3bp1,1.48547329828564,0.164177114
Sgcb,1.30949964949709,0.124953499
Sgms2,0.75082343150154,0.206771693
Sgpp1,-0.132525351495097,0.088276758
Sik3,3.8799085358478,2.888845011
Sigmar1,0.931958630799839,0.178237324
Skap2,2.27917268421539,0.494766708
Shc4,0.255440677602692,0.207702715
Sirt6,2.36512952473886,0.861656867
Shank1,0.329555832516755,0.220355077
Sh3gl3,-1.59802071417733,0.295343639
Skil,-0.376367888495044,0.106099628
Shf,0.404221864372361,0.194126491
Sh3kbp1,-0.74324408365685,0.097888218
Shisa9,-1.48382738113515,0.248588868
Sirt4,-0.706709055207763,0.258618982
Sh3bgrl3,1.13470957224559,0.112403103
Sh3bgrl2,0.429932254228546,0.169004486
Shh,-0.0333404452206765,0.285012897
Sin3b,1.74261128579155,0.214368107
Shisa7,0.274030710698247,0.293557429
Sirt2,1.29949248131724,0.09407489
Shroom2,-1.21943272614027,0.131895089
Sh2b3,-1.42904464961512,0.317567996
Shroom3,0.885052902603214,0.214304906
Sh2b1,2.522159083752,0.433358982
Sgsm1,-0.101502533188489,0.170019807
Sh2d5,-0.0981918954458103,0.170365142
Sh3bp5,0.951322512710095,0.110207662
Shisa6,-0.823590539359737,0.205902221
Sipa1l3,0.423739894978931,0.123662966
Sh3d19,-0.491810664712674,0.163782537
Shisa2,-0.0933178937756357,0.283972338
Sipa1l2,3.16448479683942,1.748650897
Siah1a,2.19714212432817,0.404488158
Shmt2,2.9548507478636,1.940926573
Sgsm2,-0.210636539064301,0.144774286
Sgtb,-0.460480519975176,0.23332427
Sidt1,-1.05056737675908,0.322694506
Sgk1,2.0699302665472,0.342121025
Simc1,-0.773478635443889,0.214775913
Sgip1,-2.30404116382831,0.361572163
Siglech,0.855135673665431,0.194918425
Sike1,1.31122773481175,0.174922701
Sirt7,-0.3331780031036,0.16616397
Sharpin,0.839372004863644,0.144349486
Ska2,-0.798647262183682,0.19140058
Shb,-1.16675605382293,0.320219552
Sh3rf1,-0.208075828837172,0.184292976
Sh3pxd2a,1.2405289430864,0.296243704
Sh3gl2,-2.17041865919963,0.271496128
Sgta,1.30657391633615,0.151859297
Siah2,-1.94541252976352,0.400293323
Sgsm3,-0.700747616847781,0.212951115
Shoc2,-2.44591453171876,0.516832166
Siae,-0.484863283952885,0.166607947
Shisa4,0.840439886359149,0.095841059
Sipa1l1,-1.33186008072188,0.167525889
Shisa5,2.60287879322918,0.628850089
Sirpa,3.82353134021032,2.881096992
Sh3bp5l,-0.129690071349684,0.145584945
Sh3bp4,0.806685056760825,0.194031853
Sh3bgr,0.0480696953188834,0.129213756
Sh3gl1,-0.229048290319861,0.153809906
Sh3pxd2b,-0.211416879081868,0.116173433
Six4,-0.553090605091081,1.073741748
Shc1,2.46229078345015,1.031435273
Sh3yl1,0.830113620810827,0.359242105
Siva1,0.89937269071295,0.18070449
Shank3,0.428479236459136,0.139796729
Sil1,1.64004557837182,0.291333823
Sidt2,1.95345989803084,0.316464973
Sgf29,1.25948941235638,0.299035829
Sgk3,-0.987495673435846,0.205165797
Sin3a,1.9358824211629,0.604081178
St7,-0.537662986918449,0.199616353
Ssbp3,-1.55323155414182,0.119355081
St3gal6,0.323043412563249,0.111423554
Ss18l1,-1.055519293157,0.211807667
Srp54b,-0.635441500978587,0.129109392
St8sia1,0.361280062084764,0.1704154
Ssfa2,2.80969990092986,0.484861538
Srp68,1.22759027525761,0.123458139
Srek1,2.18904537978875,0.394748741
Srgap3,0.182936376975561,0.086101036
Sri,-0.483626601208964,0.069644382
Ssr1,-0.333583746526747,0.059562632
Sspn,-0.377527886001915,0.149262362
Ssx2ip,0.602667902235394,0.124434867
Srebf1,0.00587654240504521,0.094556532
St3gal1,2.94232104918644,1.908537745
Srd5a1,0.391583952082138,0.182925124
Sqrdl,2.80001377609951,1.155295659
Srxn1,0.753774717956165,0.134677401
Stam,-2.89980629334513,0.802191684
Srrm3,-0.646341524976599,0.185243912
Srrd,1.71123704110717,0.333823291
Srsf11,2.57182969278269,0.2957205
St8sia4,-0.359001478555111,0.156056117
Srsf7,0.517064315899634,0.089770435
Stag1,-3.49070944702068,3.400460882
Ssna1,1.51631512829645,0.194469083
Srm,-0.966331515690099,0.149328348
Ssr2,0.289263573409736,0.10565119
Srgn,2.35615430153593,0.550185054
Srebf2,0.653918539763944,0.099395733
St7l,-1.81061859697652,0.28705107
Ssh1,-1.08146257996974,0.200713845
Srp72,-0.288056058748942,0.074750892
Srp54a,-0.40346091584499,0.231615242
St5,1.00200338884197,0.180769418
Ss18,-0.302391223884902,0.129950455
St6galnac6,-2.11730926219356,0.439749955
Ssbp4,3.14374773497184,1.794070814
