MGI.symbol,t,B
Skiv2l,-0.5093147600614,0.093551344
Shd,-0.165319084967365,0.122166638
Sh3glb2,-0.885585192762472,0.085392442
Sh3glb1,1.63779500263463,0.121967722
Sirt5,0.0960916650477485,0.102106431
Shank2,-2.42681897625788,0.402722385
Ski,1.76220983720409,0.108654276
Shc2,-0.00341642675985462,0.142927776
Sik1,-0.86521222006059,0.156942884
Sgpl1,6.15139011376157,7289.377151
Sik2,-1.29896975051535,0.228649022
Sgms1,0.527057617886474,0.079273088
Sgce,0.654187511449548,0.093816876
Sgpp2,-2.10035148610701,0.311467651
Sh2b2,-2.35858715178816,0.56461523
Sh2d3c,-1.56056822923103,0.230562823
Shtn1,-1.12195589483795,0.134867549
Shprh,-2.2465935012251,0.248130762
Shisa8,-0.0554280265816921,0.126034176
Sirt1,-0.0598593184987521,0.106866634
Shfm1,-0.298414598243204,0.240348759
Sipa1,1.50486638981021,0.192249223
Sh3bgrl,-0.31411692384423,0.060836105
Shkbp1,0.582819047234938,0.138811004
Sirt3,-0.114580749272721,0.067085598
Sh3bp1,-1.89334488715519,0.16492992
Sgcb,1.43721461232345,0.087956607
Sgms2,-0.0419256494402675,0.139487465
Sgpp1,-1.50770426456407,0.105647774
Sik3,1.31224146051401,0.07615083
Sigmar1,-0.729229176657677,0.113216476
Skap2,1.58387199343075,0.210471769
Shc4,1.74101988473729,0.292346333
Sirt6,-1.11725173410183,0.157655407
Shank1,0.109461455726418,0.17099444
Sh3gl3,-0.374205179785298,0.136051459
Skil,0.545057244227276,0.067321002
Shf,-2.30394016942428,0.480565243
Sh3kbp1,1.40894866287146,0.120277212
Shisa9,-2.21216599164179,0.286217983
Sirt4,0.927812633752235,0.162879676
Sh3bgrl3,0.863259328150347,0.081178464
Sh3bgrl2,-1.50026721955831,0.184450741
Shh,3.87047460265593,5.451461945
Sin3b,0.443531962767881,0.073226074
Shisa7,-1.2557110221446,0.173245246
Sirt2,2.67214419757683,0.364307541
Shroom2,-1.28378632057992,0.105672352
Sh2b3,0.397049790123858,0.105573694
Shroom3,4.16520580522093,14.09059812
Sh2b1,1.26065419823132,0.093138072
Sgsm1,-1.46339442425855,0.14069769
