MGI.symbol,t,B
Skiv2l,-0.978921070185751,0.140298951
Shd,-1.46734415274424,0.261237711
Sh3glb2,-1.13741931866247,0.11089026
Sh3glb1,-1.61558343398414,0.1301598
Sirt5,0.610926804372563,0.171795998
Shank2,-0.754988809496235,0.207347949
Ski,4.51601843863703,10.21220655
Shc2,-1.08831929132058,0.294129571
Sik1,-0.0830818877901615,0.187160282
Sgpl1,4.16357332807961,10.87514867
Sik2,-1.9457371091988,0.423298949
Sgms1,-0.0754750864579,0.091125958
Sgce,0.136733949396074,0.108037303
Sgpp2,1.5358097635274,0.238103093
Sh2b2,0.717496378686747,0.217293975
Sh2d3c,0.235347870038928,0.182927832
Shtn1,-3.36698039689232,1.871253493
Shprh,1.90334959313471,0.268440853
Shisa8,-1.19160265459305,0.256473582
Sirt1,0.634981913438573,0.156443169
Shfm1,-0.119558441337492,0.234423593
Sipa1,4.20992870898639,31.05146135
Sh3bgrl,-0.561455009249372,0.074455434
Shkbp1,1.42352781192174,0.270445238
Sirt3,-1.18663030801658,0.140454338
Sh3bp1,-0.741520372168684,0.098553794
Sgcb,1.51700797948872,0.133664485
Sgms2,0.739555212653636,0.188027955
Sgpp1,-0.189039998477953,0.087952009
Sik3,3.0145089842783,0.647114462
Sigmar1,-1.16718794986852,0.163138173
Skap2,1.8595122587345,0.308476836
Shc4,2.77379251063252,1.526846495
Sirt6,1.42633058793675,0.29169727
Shank1,-0.315508958067877,0.241818898
Sh3gl3,0.0530215625507612,0.149061348
Skil,2.52392701132419,0.547667031
Shf,0.197898253193728,0.162652785
Sh3kbp1,-2.29608783712004,0.335651994
Shisa9,-0.719188005213149,0.163242827
Sirt4,2.54881100374148,1.232555767
Sh3bgrl3,3.02007086299309,0.769519867
Sh3bgrl2,-1.17654365291934,0.179833558
Shh,1.78433006583803,0.616367882
Sin3b,3.42144206944738,1.88087409
Shisa7,-1.49743122911745,0.352569536
Sirt2,1.31958631768725,0.092805431
Shroom2,-2.92090539901494,0.759860829
Sh2b3,1.37992206705145,0.224030591
Shroom3,-1.05660647520001,0.180048183
Sh2b1,0.0986725698234026,0.084520479
Sgsm1,-0.205132545880128,0.130115678
Sh2d5,0.736457720954635,0.180543481
Sh3bp5,-0.788168796008959,0.102407585
Shisa6,2.13697408608936,0.575764327
Sipa1l3,0.329240686694907,0.118912854
