MGI.symbol,t,B
Skiv2l,1.30172361614145,0.188929165
Shd,-0.454813717575205,0.184513475
Sh3glb2,0.672750591779858,0.11157398
Sh3glb1,-0.266208080099928,0.072648073
Sirt5,0.703663709717028,0.234718047
Shank2,0.324315235080547,0.216786835
Ski,0.212607214558925,0.073788569
Shc2,0.731940321007093,0.267962076
Sik1,0.399797624054624,0.190504443
Sgpl1,1.93333630687243,0.419643642
Sik2,-0.0105819644029062,0.238406051
Sgms1,1.05416516150102,0.136922644
Sgce,0.135820933140691,0.130582071
Sgpp2,0.105514552324971,0.152648196
Sh2b2,-0.0297316020632832,0.363689493
Sh2d3c,-0.81233146934492,0.246066062
Shtn1,-1.71062422530498,0.256184497
Shprh,0.275119855257982,0.105993569
Shisa8,0.136078658207962,0.209755667
Sirt1,0.769723874726422,0.18944502
Shfm1,0.108599633494116,0.261646986
Sipa1,0.640645508652348,0.183443415
Sh3bgrl,1.99636826552037,0.196417513
Shkbp1,-0.92808939103423,0.287525693
Sirt3,1.17623210222583,0.16698771
Sh3bp1,0.747049343495173,0.112072991
Sgcb,2.01208997979845,0.221527374
Sgms2,-1.02091833561952,0.200927492
Sgpp1,-1.55296333141164,0.163693725
Sik3,-2.18408608665223,0.256471453
Sigmar1,0.851303337455196,0.155197536
Skap2,0.829945443264821,0.198885504
Shc4,2.25179455683819,0.494403557
Sirt6,-0.924198960614545,0.29866524
Shank1,1.0524278143267,0.413172766
Sh3gl3,1.20279012895115,0.207425537
Skil,-0.414356804790129,0.113779156
Shf,-2.04614014216142,0.707652211
Sh3kbp1,-0.377501978843963,0.096238585
Shisa9,0.842674907580205,0.22801366
Sirt4,1.33982690276446,0.388468863
Sh3bgrl3,2.18311154485269,0.289721934
Sh3bgrl2,0.609150466674527,0.19046789
Shh,-0.385018461638605,0.256370134
Sin3b,-0.117750099600292,0.101519619
Shisa7,0.0235477739658232,0.350005786
Sirt2,1.33797398833761,0.092175324
Shroom2,1.60694830948456,0.158717281
Sh2b3,0.537700731850938,0.162669225
Shroom3,0.133081504609102,0.161488522
Sh2b1,2.13150543757889,0.307619847
Sgsm1,-0.641197636821278,0.177249357
Sh2d5,1.12848605873799,0.31584944
Sh3bp5,0.473658613214189,0.096643454
Shisa6,1.84804791083703,0.544455924
Sipa1l3,2.36119319375152,0.56571221
Sh3d19,-2.53909633846491,0.614665883
Shisa2,1.26855286253259,0.33773816
Sipa1l2,0.703464484723443,0.172897191
Siah1a,-0.358843489613538,0.138458433
Shmt2,2.29740834235065,0.842264728
Sgsm2,0.739423833388815,0.18939926
Sgtb,0.0746664367538202,0.208737024
Sidt1,1.15311990996848,0.352967084
Sgk1,2.55812855683549,0.591820038
Simc1,-0.740957009115351,0.254164458
Sgip1,-0.636687999238274,0.096226099
Siglech,1.52650454943734,0.36303489
Sike1,-0.837561372801905,0.194802322
Sirt7,-1.77811585339171,0.393340857
Sharpin,-0.371763372286826,0.1573394
Ska2,1.05305094949084,0.221543619
Shb,-0.487813484376022,0.226697224
Sh3rf1,-0.507530613574297,0.205802887
Sh3pxd2a,-1.27588800758997,0.192124463
Sh3gl2,0.508077890780328,0.093007259
Sgta,3.01166697546727,1.376010967
Siah2,-0.600715314741295,0.171083994
Sgsm3,-0.351588576345944,0.189318442
Shoc2,-1.75318655426409,0.261673313
Siae,0.381026665586146,0.217068625
Shisa4,-1.20773161464405,0.113109634
Sipa1l1,-0.720145277840374,0.109391984
Shisa5,0.48976928710869,0.139104343
Sirpa,0.0261828251827152,0.085013659
Sh3bp5l,-0.379427482422166,0.135796353
Sh3bp4,-0.433712738142679,0.170332862
Sh3bgr,0.552302579352921,0.159436104
Sh3gl1,-2.29568876782429,0.564999337
Sh3pxd2b,-1.67591017756282,0.282431763
Six4,-0.283812188093269,1.174943105
Shc1,-1.30921433588724,0.339833708
Sh3yl1,-0.0503874010238821,0.314046429
Siva1,-2.06235118311357,0.500207035
Shank3,0.168610549924183,0.154675406
Sil1,0.394808312507457,0.164808021
