MGI.symbol,t,B
Skiv2l,-0.115294051252859,0.097434093
Shd,1.66645796502303,0.302531675
Sh3glb2,0.0646918466373351,0.077590661
Sh3glb1,-2.37580470746711,0.250613984
Sirt5,0.962191123061414,0.199491634
Shank2,-1.57837330364231,0.276105852
Ski,0.995325603250293,0.07339703
Shc2,1.77183071613502,0.407772104
Sik1,1.15796589279602,0.237396909
Sgpl1,0.559750989633754,0.113538265
Sik2,-0.177342843337608,0.182365316
Sgms1,0.801892078028126,0.089055504
Sgce,-0.0223644574671481,0.092657837
Sgpp2,0.400310505545256,0.131610451
Sh2b2,-0.517959373848743,0.259945769
Sh2d3c,-1.24163912921453,0.264065128
Shtn1,0.238174992596614,0.099467834
Shprh,-1.17072550767081,0.111041139
Shisa8,-0.406988417816701,0.168494019
Sirt1,0.934398410691546,0.169423112
Shfm1,-0.816057766728357,0.280475777
Sipa1,1.80832837816894,0.324844732
Sh3bgrl,-0.220021509884609,0.060045907
Shkbp1,-0.493772614941333,0.16460556
Sirt3,-0.109419256767556,0.087015222
Sh3bp1,0.0184048532377348,0.082357831
Sgcb,2.38411720612723,0.263614763
Sgms2,0.644590894390317,0.132375856
Sgpp1,-0.29870937720013,0.071744817
Sik3,-2.29845705868051,0.24013893
Sigmar1,0.334800004619497,0.113783201
Skap2,1.7022953768679,0.269716671
Shc4,2.17924131219808,0.466717001
Sirt6,0.304153497001405,0.148615581
Shank1,-0.601048823766165,0.346422962
Sh3gl3,0.365232897322883,0.132516179
Skil,0.143391868258373,0.088060121
Shf,2.13708094606232,0.65561442
Sh3kbp1,-2.02344063829335,0.21754056
Shisa9,1.86344754152381,0.31544011
Sirt4,-0.0976757357203967,0.221164692
Sh3bgrl3,-1.23413001194093,0.10861164
Sh3bgrl2,-1.76420484158042,0.263834582
Shh,-0.592108189513241,0.190560783
Sin3b,-0.527891149765688,0.094375797
Shisa7,-0.658357028578304,0.264465252
Sirt2,0.879816324594214,0.064776478
Shroom2,-0.836315742781655,0.09074101
Sh2b3,-0.0563046171372282,0.13019502
Shroom3,1.80971798683167,0.307950469
Sh2b1,2.99926166871988,0.843075746
Sgsm1,0.84082296282699,0.149346062
Sh2d5,-0.709762756657258,0.199121343
Sh3bp5,0.469679780106992,0.076515638
Shisa6,2.3201897848957,0.823330854
Sipa1l3,0.392018352163758,0.109783928
Sh3d19,0.509737254841144,0.110397798
Shisa2,-0.828012369820811,0.224968204
Sipa1l2,3.2002337897605,1.577923695
Siah1a,0.221389043057884,0.098904577
Shmt2,0.142139245417482,0.157577885
Sgsm2,1.43988798742476,0.229000074
Sgtb,0.917259149003051,0.219874914
Sidt1,-0.437325510946541,0.193743023
Sgk1,1.90709670227501,0.28259635
Simc1,-0.962342056760219,0.278033403
Sgip1,-1.22548050862648,0.106379453
Siglech,0.137123763118077,0.168885994
Sike1,0.376394340412865,0.108614533
Sirt7,0.754057064446714,0.155322591
Sharpin,-1.55108314361434,0.205743281
Ska2,0.154878614223561,0.135726818
Shb,-0.147635293859015,0.197288059
Sh3rf1,-1.76606423744082,0.279227239
Sh3pxd2a,1.53422570915169,0.214750765
Sh3gl2,0.802502025765524,0.082834083
Sgta,0.586520568031522,0.101185025
Siah2,-1.79298383762964,0.256965768
Sgsm3,2.3900829450051,0.641769411
Shoc2,-0.565499263395402,0.093634732
Siae,-1.73876937703135,0.305925399
Shisa4,-0.778168711824609,0.07941216
Sipa1l1,-0.609206661676958,0.089774528
Shisa5,1.00981369827988,0.140658057
Sirpa,1.20499821813392,0.090614968
Sh3bp5l,-1.85621344553742,0.248342118
Sh3bp4,0.0367643211328532,0.130503949
Sh3bgr,-0.928649489121663,0.148256275
Sh3gl1,1.0733437387314,0.153344045
Sh3pxd2b,1.97389129136427,0.302429232
Six4,-0.0241922449161958,0.413307868
Shc1,2.49264339820295,0.962391444
Sh3yl1,0.249488180765005,0.208865043
Siva1,2.40736965206768,0.595327923
Shank3,-0.0813045612609052,0.103598345
Sil1,0.669596110448759,0.15522515
Sidt2,0.602402184980897,0.110962065
Sgf29,1.48863451062532,0.253920808
Sgk3,-0.796701657441064,0.161079021
Sin3a,0.0461964060392599,0.141491837
St7,-0.921083143412156,0.180675523
Ssbp3,-0.802620657109031,0.061699793
St3gal6,1.68384876343232,0.18078309
Ss18l1,1.30660406710732,0.185226857
Srp54b,0.0556525932509006,0.105204239
St8sia1,-0.137094608421032,0.121092583
Ssfa2,2.49245323943448,0.29613271
Srp68,0.580801453837402,0.093406953
Srek1,0.922631703184661,0.139990887
Srgap3,-1.29680519854864,0.110053314
Sri,0.759411740370781,0.063002303
Ssr1,0.330923509510215,0.048365372
Sspn,-0.954678202588569,0.150987097
Ssx2ip,1.45864111300521,0.156334939
Srebf1,-0.31273052337511,0.089349078
St3gal1,0.94135815747461,0.242861452
Srd5a1,1.8444975858399,0.298053224
Sqrdl,-0.568310231607158,0.175223589
Srxn1,-0.877027433408824,0.122440882
Stam,1.82146480490475,0.143979197
Srrm3,2.61475174193302,0.976928696
Srrd,0.529998403616995,0.135544324
Srsf11,1.254026557349,0.068724014
St8sia4,0.190602741702812,0.12432918
Srsf7,-0.0408671971020016,0.062830493
Stag1,-1.46589772071083,0.162743573
Ssna1,-1.10828683700246,0.12100735
Srm,-0.019946845266126,0.100282012
Ssr2,2.63505186772453,0.427212905
